code,ATR_n,TPk,SLk,winrate_FWD,PF_eff_FWD,trades_FWD
3315.T,1,1,2,0.75,1.4982007197121152,28
3536.T,1,1,2,0.7368421052631579,1.3983206717313073,19
4344.T,3,3,1,0.5,2.9968025579536373,30
4563.T,1,1,2,0.9230769230769232,5.992802878848465,13
4594.T,1,1,2,0.9444444444444444,8.489804078368648,18
6098.T,5,3,2,0.5671641791044776,1.964207420480084,67
6740.T,1,1,1,0.9696969696969696,31.94884092725822,33
6993.T,1,1,2,0.9166666666666666,5.49340263894442,24
7203.T,5,3,2,0.5142857142857142,1.5871768939483029,70
7599.T,5,3,2,0.5909090909090909,2.1652227997689817,66
8801.T,2,3,2,0.53125,1.6988671198187393,64
9424.T,1,1,2,0.8125,2.164067706250833,64
