コード4,シンボル,詳細,価格,出来高,売買代金推定,RelVol_t,ATR5m%,ATR1d%,Score
8306,8306,三菱ＵＦＪフィナンシャル・グループ,2352.0,9423900,22165012800.0,1.3667609018278994,0.2298777846385099,1.836560991745401,2.9608748927215256
8411,8411,みずほフィナンシャルグループ,4982.0,3719500,18530549000.0,2.8507203843435702,0.4188638298410641,2.0132043319456705,2.362111539845798
6758,6758,ソニーグループ,4244.0,4129300,17524749200.0,1.898535874188758,0.4684637862635214,2.930088602627519,2.047730471433662
6315,6315,ＴＯＷＡ,2505.0,4382500,10978162500.0,4.112584311441937,0.8204475887778874,4.146811558367085,1.568232404063815
7974,7974,任天堂,12835.0,1142700,14666554500.0,1.2120987102671803,0.3059308610903872,2.7723149879647506,1.3565224336329313
5803,5803,フジクラ,14115.0,1089600,15379704000.0,0.7395097295665737,0.4335491480077601,3.741590547610755,1.3262267035627626
285A,285A,キオクシアホールディングス,5030.0,2724500,13704235000.0,1.1138418918075326,0.8610418107970648,5.318453570855566,1.2001987452114005
8766,8766,東京海上ホールディングス,6107.0,1599300,9766925100.0,3.237783169470592,0.4438865018925869,2.141858261744254,1.1163129674925645
6501,6501,日立製作所,3877.0,2977400,11543379800.0,1.4157686505075386,0.2617090702789107,2.284030678855531,1.1079089757927094
7011,7011,三菱重工業,3723.0,3261500,12142564500.0,0.913241112476886,0.292148551055828,2.7216249564103645,1.097820735839298
7203,7203,トヨタ自動車,2933.0,3479000,10203907000.0,1.0086722300110191,0.1941589411900414,1.790594623533287,0.890328429699556
4568,4568,第一三共,3354.0,2396800,8038867200.0,2.823717829934938,0.3181572722958864,2.817121133726847,0.8761518012034805
8136,8136,サンリオ,6516.0,1652100,10765083600.0,1.192640074746972,0.3599557273254212,4.276263421091541,0.8498911740754759
8316,8316,三井住友フィナンシャルグループ,4154.0,2380900,9890258600.0,1.2108713109011895,0.2327312052739401,1.6631481312647272,0.8094291808527542
9501,9501,東京電力ホールディングス,649.1,10356000,6722079600.0,1.0610803114878888,0.5811068446951554,5.378492521462129,0.8092873237388118
7269,7269,スズキ,2197.0,2889400,6348011800.0,3.3569800543550623,0.3843916307136024,2.101715302689742,0.7775321266041431
8058,8058,三菱商事,3547.0,2458700,8721008900.0,1.687381279649652,0.2635167825549101,1.786845595192745,0.7490521474289962
6098,6098,リクルートホールディングス,7808.0,1038900,8111731200.0,1.900242812412764,0.3743311376265335,2.9436721835677493,0.5948198051816979
9003,9003,相鉄ホールディングス,2631.0,458400,1206050400.0,6.236750267790105,0.1882303129320331,1.1784400472317007,0.5565308070966273
9031,9031,西日本鉄道,2315.5,441400,1022061700.0,5.857881374619769,0.1726524313735223,1.3964497770597766,0.4557241692571231
9048,9048,名古屋鉄道,1762.5,1262100,2224451250.0,4.798531234646389,0.1935299747346143,1.0966428016777283,0.4495974209072196
8001,8001,伊藤忠商事,8615.0,747900,6443158500.0,1.5926488322978518,0.2302366657140369,1.8362969312700927,0.3163261561008677
8031,8031,三井物産,3772.0,1478900,5578410800.0,1.8720405518642045,0.249170988896747,1.834009093610293,0.3019136882769866
9044,9044,南海電気鉄道,2764.0,702500,1941710000.0,4.395515588807495,0.2360223385424428,1.4232131628792992,0.2830413611531825
9001,9001,東武鉄道,2715.5,401200,1089458600.0,4.881672266744084,0.1841122190937934,1.2434141080609402,0.25883038816756726
8233,8233,高島屋,1600.0,1276700,2042720000.0,4.334582760326061,0.6512964446513909,2.186895926038346,0.23899478579678998
3350,3350,メタプラネット,551.0,8550300,4711215300.0,0.6949950983011256,1.2225518486057645,13.36929231263244,0.21542690400751563
2914,2914,日本たばこ産業,4771.0,811600,3872143600.0,2.577433667832647,0.1492061475058996,1.0787068674479383,0.19324215307378784
6701,6701,日本電気,4579.0,1030800,4720033200.0,2.2655252668086328,0.4738586036233453,2.375517247966875,0.1927724114748226
4063,4063,信越化学工業,4665.0,1254700,5853175500.0,1.1041511295817104,0.219403641160777,1.7025774988972175,0.17193199421381083
