,情報項目,RSS関数,表示例,備考
1,銘柄コード,RSS|'9501.T'!銘柄コード,9501,
2,市場コード,RSS|'9501.T'!市場コード,T,
3,銘柄名称,RSS|'9501.T'!銘柄名称,東京電力,
4,市場名称,RSS|'9501.T'!市場名称,東証,
5,市場部名称,RSS|'9501.T'!市場部名称,東証P,
6,市場部略称,RSS|'9501.T'!市場部略称,東P,
7,現在日付,RSS|'9501.T'!現在日付,2009/12/14,8：00～　表示開始　表示形式-ﾕｰｻﾞｰ定義-YY-MM-DD
8,更新時刻,RSS|'9501.T'!更新時刻,9:58,8：00～　表示開始　表示形式-時刻-13:30
9,現在値,RSS|'9501.T'!現在値,2206,～9：00　ブランク
10,現在値時刻,RSS|'9501.T'!現在値時刻,9:07,寄前表示　通常「--」　表示形式変更後「#########」
11,現在値詳細時刻,RSS|'9501.T'!現在値詳細時刻,9:07:31,秒単位まで表示　寄前表示　通常「--」　表示形式変更後「#########」
12,現在値ティック,RSS|'9501.T'!現在値ティック,↓,
13,現在値フラグ,RSS|'9501.T'!現在値フラグ,C,
14,前日比,RSS|'9501.T'!前日比,-19,
15,前日比率,RSS|'9501.T'!前日比率,-0.85,
16,前日終値,RSS|'9501.T'!前日終値,2225,
17,前日日付,RSS|'9501.T'!前日日付,2009/12/5,表示形式-ﾕｰｻﾞｰ定義-yy-mm-dd
18,前日終値フラグ,RSS|'9501.T'!前日終値フラグ,C,
19,歩み１,RSS|'9501.T'!歩み１,2216,
20,歩み２,RSS|'9501.T'!歩み２,2206,
21,歩み３,RSS|'9501.T'!歩み３,2207,
22,歩み４,RSS|'9501.T'!歩み４,2211,
23,歩み１時刻,RSS|'9501.T'!歩み１時刻,9:07,寄前表示　通常「--」　表示形式変更後「#########」
24,歩み２時刻,RSS|'9501.T'!歩み２時刻,9:07,寄前表示　通常「--」　表示形式変更後「#########」
25,歩み３時刻,RSS|'9501.T'!歩み３時刻,9:07,寄前表示　通常「--」　表示形式変更後「#########」
26,歩み４時刻,RSS|'9501.T'!歩み４時刻,9:07,寄前表示　通常「--」　表示形式変更後「#########」
27,歩み１詳細時刻,RSS|'9501.T'!歩み１詳細時刻,9:07:30,秒単位まで表示　寄前表示　通常「--」　表示形式変更後「#########」
28,歩み２詳細時刻,RSS|'9501.T'!歩み２詳細時刻,9:07:30,秒単位まで表示　寄前表示　通常「--」　表示形式変更後「#########」
29,歩み３詳細時刻,RSS|'9501.T'!歩み３詳細時刻,9:07:30,秒単位まで表示　寄前表示　通常「--」　表示形式変更後「#########」
30,歩み４詳細時刻,RSS|'9501.T'!歩み４詳細時刻,9:07:30,秒単位まで表示　寄前表示　通常「--」　表示形式変更後「#########」
31,出来高,RSS|'9501.T'!出来高,1068900,
32,売買代金,RSS|'9501.T'!売買代金,2366827,
33,出来高加重平均,RSS|'9501.T'!出来高加重平均,2214.2643,
34,始値,RSS|'9501.T'!始値,2214,
35,高値,RSS|'9501.T'!高値,2224,随時更新
36,安値,RSS|'9501.T'!安値,2206,随時更新
37,始値時刻,RSS|'9501.T'!始値時刻,9:00,
38,高値時刻,RSS|'9501.T'!高値時刻,9:07,
39,安値時刻,RSS|'9501.T'!安値時刻,9:07,
40,始値詳細時刻,RSS|'9501.T'!始値詳細時刻,9:00:01,秒単位まで表示
41,高値詳細時刻,RSS|'9501.T'!高値詳細時刻,9:40:03,秒単位まで表示
42,安値詳細時刻,RSS|'9501.T'!安値詳細時刻,9:55:23,秒単位まで表示
43,前場始値,RSS|'9501.T'!前場始値,2214,
44,前場高値,RSS|'9501.T'!前場高値,2224,
45,前場安値,RSS|'9501.T'!前場安値,2206,
46,前場終値,RSS|'9501.T'!前場終値,2206,
47,前場出来高,RSS|'9501.T'!前場出来高,0,
48,後場始値,RSS|'9501.T'!後場始値,2224,
49,後場高値,RSS|'9501.T'!後場高値,2224,
50,後場安値,RSS|'9501.T'!後場安値,2220,
51,前場始値時刻,RSS|'9501.T'!前場始値時刻,9:00,
52,前場高値時刻,RSS|'9501.T'!前場高値時刻,9:07,
53,前場安値時刻,RSS|'9501.T'!前場安値時刻,9:07,
54,前場終値時刻,RSS|'9501.T'!前場終値時刻,11:00,
55,前場出来高時刻,RSS|'9501.T'!前場出来高時刻,11:00,
56,後場始値時刻,RSS|'9501.T'!後場始値時刻,12:30,
57,後場高値時刻,RSS|'9501.T'!後場高値時刻,12:30,
58,後場安値時刻,RSS|'9501.T'!後場安値時刻,12:32,
59,最良売気配値,RSS|'9501.T'!最良売気配値,2216,=最良売気配1
60,最良買気配値,RSS|'9501.T'!最良買気配値,2206,=最良買気配1
61,最良売気配数量,RSS|'9501.T'!最良売気配数量,1300,=最良売気配数量1
62,最良買気配数量,RSS|'9501.T'!最良買気配数量,4900,=最良買気配数量1
63,最良売気配時刻,RSS|'9501.T'!最良売気配時刻,9:07:00,
64,最良買気配時刻,RSS|'9501.T'!最良買気配時刻,9:07:00,
65,最良売気配詳細時刻,RSS|'9501.T'!最良売気配詳細時刻,9:58:21,秒単位まで表示
66,最良買気配詳細時刻,RSS|'9501.T'!最良買気配詳細時刻,9:58:21,秒単位まで表示
67,特別売気配フラグ,RSS|'9501.T'!特別売気配フラグ,S,
68,特別買気配フラグ,RSS|'9501.T'!特別買気配フラグ,S,
69,信用貸借区分,RSS|'9501.T'!信用貸借区分,貸借,
70,逆日歩,RSS|'9501.T'!逆日歩,0,
71,逆日歩更新日付,RSS|'9501.T'!逆日歩更新日付,  -  -  ,表示形式-ﾕｰｻﾞｰ定義-yy-mm-dd
72,信用売残,RSS|'9501.T'!信用売残,0,
73,信用売残前週比,RSS|'9501.T'!信用売残前週比,0,
74,信用買残,RSS|'9501.T'!信用買残,0,
75,信用買残前週比,RSS|'9501.T'!信用買残前週比,0,
76,信用倍率,RSS|'9501.T'!信用倍率,0,
77,証金コード,RSS|'9501.T'!証金コード,日証金,
78,証金残更新日付,RSS|'9501.T'!証金残更新日付,40158,表示形式-ﾕｰｻﾞｰ定義-yy-mm-dd
79,新規貸株,RSS|'9501.T'!新規貸株,121600,
80,新規融資,RSS|'9501.T'!新規融資,4100,
81,返済貸株,RSS|'9501.T'!返済貸株,51200,
82,返済融資,RSS|'9501.T'!返済融資,76800,
83,残高貸株,RSS|'9501.T'!残高貸株,498100,
84,残高融資,RSS|'9501.T'!残高融資,441500,
85,残高差引,RSS|'9501.T'!残高差引,-56600,
86,前日比貸株,RSS|'9501.T'!前日比貸株,70400,
87,前日比融資,RSS|'9501.T'!前日比融資,-72700,
88,前日比差引,RSS|'9501.T'!前日比差引,-143100,
89,回転日数,RSS|'9501.T'!回転日数,4.9,
90,貸借倍率,RSS|'9501.T'!貸借倍率,0.89,
91,最良売気配値１,RSS|'9501.T'!最良売気配値１,2189,
92,最良売気配値２,RSS|'9501.T'!最良売気配値２,2203,
93,最良売気配値３,RSS|'9501.T'!最良売気配値３,2223,
94,最良売気配値４,RSS|'9501.T'!最良売気配値４,2233,
95,最良売気配値５,RSS|'9501.T'!最良売気配値５,2234,
96,最良売気配値６,RSS|'9501.T'!最良売気配値６,2235,MS9.0より表示
97,最良売気配値７,RSS|'9501.T'!最良売気配値７,2237,MS9.0より表示
98,最良売気配値８,RSS|'9501.T'!最良売気配値８,2238,MS9.0より表示
99,最良売気配値９,RSS|'9501.T'!最良売気配値９,2239,MS14.0より表示
100,最良売気配値１０,RSS|'9501.T'!最良売気配値１０,2240,MS14.0より表示
101,最良買気配値１,RSS|'9501.T'!最良買気配値１,2187,
102,最良買気配値２,RSS|'9501.T'!最良買気配値２,2186,
103,最良買気配値３,RSS|'9501.T'!最良買気配値３,2185,
104,最良買気配値４,RSS|'9501.T'!最良買気配値４,2184,
105,最良買気配値５,RSS|'9501.T'!最良買気配値５,2183,
106,最良買気配値６,RSS|'9501.T'!最良買気配値６,2182,MS9.0より表示
107,最良買気配値７,RSS|'9501.T'!最良買気配値７,2181,MS9.0より表示
108,最良買気配値８,RSS|'9501.T'!最良買気配値８,2180,MS9.0より表示
109,最良買気配値９,RSS|'9501.T'!最良買気配値９,2179,MS14.0より表示
110,最良買気配値１０,RSS|'9501.T'!最良買気配値１０,2178,MS14.0より表示
111,最良売気配数量１,RSS|'9501.T'!最良売気配数量１,1200,
112,最良売気配数量２,RSS|'9501.T'!最良売気配数量２,6600,
113,最良売気配数量３,RSS|'9501.T'!最良売気配数量３,300,
114,最良売気配数量４,RSS|'9501.T'!最良売気配数量４,200,
115,最良売気配数量５,RSS|'9501.T'!最良売気配数量５,200,
116,最良売気配数量６,RSS|'9501.T'!最良売気配数量６,100,MS9.0より表示
117,最良売気配数量７,RSS|'9501.T'!最良売気配数量７,11100,MS9.0より表示
118,最良売気配数量８,RSS|'9501.T'!最良売気配数量８,11300,MS9.0より表示
119,最良売気配数量９,RSS|'9501.T'!最良売気配数量９,11400,MS14.0より表示
120,最良売気配数量１０,RSS|'9501.T'!最良売気配数量１０,11500,MS14.0より表示
121,最良買気配数量１,RSS|'9501.T'!最良買気配数量１,11000,
122,最良買気配数量２,RSS|'9501.T'!最良買気配数量２,20800,
123,最良買気配数量３,RSS|'9501.T'!最良買気配数量３,15000,
124,最良買気配数量４,RSS|'9501.T'!最良買気配数量４,14400,
125,最良買気配数量５,RSS|'9501.T'!最良買気配数量５,14900,
126,最良買気配数量６,RSS|'9501.T'!最良買気配数量６,14200,MS9.0より表示
127,最良買気配数量７,RSS|'9501.T'!最良買気配数量７,13200,MS9.0より表示
128,最良買気配数量８,RSS|'9501.T'!最良買気配数量８,17600,MS9.0より表示
129,最良買気配数量９,RSS|'9501.T'!最良買気配数量９,15000,MS14.0より表示
130,最良買気配数量１０,RSS|'9501.T'!最良買気配数量１０,16000,MS14.0より表示
131,売成行数量,RSS|'9501.T'!売成行数量, ,
132,買成行数量,RSS|'9501.T'!買成行数量, ,
133,OVER気配数量,RSS|'9501.T'!OVER気配数量,902300,
134,UNDER気配数量,RSS|'9501.T'!UNDER気配数量,717200,
135,単位株数,RSS|'9501.T'!単位株数,100,
136,配当,RSS|'9501.T'!配当,60,
137,配当落日,RSS|'9501.T'!配当落日,40263,表示形式-ﾕｰｻﾞｰ定義-yy-mm-dd
138,権利落日,RSS|'9501.T'!権利落日,  -  -  ,表示なし
139,ＰＥＲ,RSS|'9501.T'!ＰＥＲ,0,
140,ＰＢＲ,RSS|'9501.T'!ＰＢＲ,1.19,
141,当日基準値,RSS|'9501.T'!当日基準値,2215,
142,翌日基準値,RSS|'9501.T'!翌日基準値,0.00 ,東証･ﾏｻﾞｰｽﾞ 0
143,年初来高値,RSS|'9501.T'!年初来高値,2710,～前日分まで
144,年初来安値,RSS|'9501.T'!年初来安値,2197,～前日分まで
145,年初来高値日付,RSS|'9501.T'!年初来高値日付,2009/12/2,表示形式-ﾕｰｻﾞｰ定義-yy-mm-dd
146,年初来安値日付,RSS|'9501.T'!年初来安値日付,2009/12/2,表示形式-ﾕｰｻﾞｰ定義-yy-mm-dd
147,上場来高値,RSS|'9501.T'!上場来高値,2710,～前日分まで
148,上場来安値,RSS|'9501.T'!上場来安値,2197,～前日分まで
149,上場来高値日付,RSS|'9501.T'!上場来高値日付,2009/12/2,表示形式-ﾕｰｻﾞｰ定義-yy-mm-dd
150,上場来安値日付,RSS|'9501.T'!上場来安値日付,2009/12/2,表示形式-ﾕｰｻﾞｰ定義-yy-mm-dd
