code,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
2413.T,3,1.0,999.0,999.0,0.9992,0,2
4004.T,9,0.0,0.0,0.0,-1.0008,0,2
5706.T,11,0.5454545454545454,1.125,0.8991603358656537,-0.09170909090909096,0,2
6323.T,5,0.2,0.3333333333333333,0.24960031974420466,-0.6008,0,2
6981.T,7,0.2857142857142857,1.0,0.7990407673860912,-0.14365714285714282,0,2
7532.T,0,0.0,0.0,0.0,0.0,0,2
8306.T,7,0.14285714285714285,0.4,0.332933653077538,-0.5722285714285713,0,2
8729.T,8,0.375,1.5,1.1985611510791367,0.12420000000000009,0,2
9843.T,7,0.5714285714285714,1.0666666666666667,1.0653873489694385,0.042057142857142904,0,2
